book,price,amount,oid,side,amount_minor,amount_major
usd_mxn,24.9,5000.0,Qi5XWlt5pVwGzTqF,ask,124500.0,5000.0
usd_mxn,24.887,31402.84,LPdaK32NjNKOpelV,ask,781522.47908,31402.84
usd_mxn,24.8,3.2,bYaVABUj5sUvaJn3,ask,79.36000000000001,3.2
usd_mxn,24.8,500.0,zRkjGhaziYdEuUjd,ask,12400.0,500.0
usd_mxn,24.789,10.0,RZJ53gTNxZzTx5Gk,ask,247.89000000000001,10.0
usd_mxn,24.683,19.1,5C6ebhr3KFJC8t2w,ask,471.44530000000003,19.1
usd_mxn,24.624,11.15,JiXcSAqYPD081Du2,ask,274.5576,11.15
usd_mxn,24.616,0.99,xMrGPAQHsXVJUazo,ask,24.36984,0.99
usd_mxn,24.5,1.0,OWj1YUQx3DONwMyZ,ask,24.5,1.0
usd_mxn,24.5,0.41,NH7EpKAGJqE9dNlR,ask,10.045,0.41
usd_mxn,24.5,100.0,dSIMFgTEIeXdYptx,ask,2450.0,100.0
usd_mxn,24.5,1.01,tTvDTWRAi8SIlqw6,ask,24.745,1.01
usd_mxn,24.43,10.0,YD5zZMMwDFwzQhNM,ask,244.3,10.0
usd_mxn,24.408,199.45,pGvqSR3T0zpn7e0P,ask,4868.1756,199.45
usd_mxn,24.32,459.56,oRxIRCvoGV4fuMnL,ask,11176.4992,459.56
usd_mxn,24.3,15.0,8BCuD903WjnKveSD,ask,364.5,15.0
usd_mxn,24.02,557.37,u6bCWqz650X9Dm9w,ask,13388.027399999999,557.37
usd_mxn,24.0,2.59,ENkk3TYBZT1ETYTW,ask,62.16,2.59
usd_mxn,24.0,3.0,T5yjjNiYNZ2FDTcx,ask,72.0,3.0
usd_mxn,24.0,15.82,YEQzDzjwzJ3jjwNT,ask,379.68,15.82
usd_mxn,24.0,19.87,mMMGNjhFZWTUE230,ask,476.88,19.87
usd_mxn,24.0,10.34,GM9x4IaLD6BAW6Uu,ask,248.16,10.34
usd_mxn,24.0,11.17,YNQVMzWjZIJZWTTR,ask,268.08,11.17
